"레벨","직업","부위","장비명","획득 보스","확률 설명"
"30","전사","귀걸이","30레벨 토벌자의 전공귀걸이","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","전사","펜던트","30레벨 토벌자의 수호패","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","전사","무기","40레벨 토벌자의 장창","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","전사","투구","40레벨 토벌자의 전투투구","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","전사","갑옷","40레벨 토벌자의 흉갑","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","전사","바지","40레벨 토벌자의 판금각반","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","전사","장갑","40레벨 토벌자의 철장갑","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","전사","신발","40레벨 토벌자의 전투장화","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","전사","반지","40레벨 토벌자의 인장반지","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","전사","귀걸이","40레벨 토벌자의 전공귀걸이","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"40","전사","펜던트","40레벨 토벌자의 수호패","고목왕 아르벨 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","전사","무기","50레벨 토벌자의 장창","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","전사","투구","50레벨 토벌자의 전투투구","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","전사","갑옷","50레벨 토벌자의 흉갑","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","전사","바지","50레벨 토벌자의 판금각반","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","전사","장갑","50레벨 토벌자의 철장갑","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","전사","신발","50레벨 토벌자의 전투장화","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","전사","반지","50레벨 토벌자의 인장반지","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","전사","귀걸이","50레벨 토벌자의 전공귀걸이","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"50","전사","펜던트","50레벨 토벌자의 수호패","강철 거인 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","전사","무기","60레벨 토벌자의 장창","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","전사","투구","60레벨 토벌자의 전투투구","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","전사","갑옷","60레벨 토벌자의 흉갑","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","전사","바지","60레벨 토벌자의 판금각반","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","전사","장갑","60레벨 토벌자의 철장갑","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","전사","신발","60레벨 토벌자의 전투장화","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","전사","반지","60레벨 토벌자의 인장반지","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","전사","귀걸이","60레벨 토벌자의 전공귀걸이","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"60","전사","펜던트","60레벨 토벌자의 수호패","수정 포식자 / 광산왕 크로투스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","전사","무기","70레벨 토벌자의 장창","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","전사","투구","70레벨 토벌자의 전투투구","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","전사","갑옷","70레벨 토벌자의 흉갑","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","전사","바지","70레벨 토벌자의 판금각반","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","전사","장갑","70레벨 토벌자의 철장갑","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","전사","신발","70레벨 토벌자의 전투장화","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","전사","반지","70레벨 토벌자의 인장반지","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","전사","귀걸이","70레벨 토벌자의 전공귀걸이","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"70","전사","펜던트","70레벨 토벌자의 수호패","화염 사냥개 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","전사","무기","80레벨 토벌자의 장창","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","전사","투구","80레벨 토벌자의 전투투구","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","전사","갑옷","80레벨 토벌자의 흉갑","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","전사","바지","80레벨 토벌자의 판금각반","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","전사","장갑","80레벨 토벌자의 철장갑","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","전사","신발","80레벨 토벌자의 전투장화","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","전사","반지","80레벨 토벌자의 인장반지","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","전사","귀걸이","80레벨 토벌자의 전공귀걸이","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"80","전사","펜던트","80레벨 토벌자의 수호패","용암 거신 / 재의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","전사","무기","90레벨 토벌자의 장창","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","전사","투구","90레벨 토벌자의 전투투구","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","전사","갑옷","90레벨 토벌자의 흉갑","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","전사","바지","90레벨 토벌자의 판금각반","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","전사","장갑","90레벨 토벌자의 철장갑","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","전사","신발","90레벨 토벌자의 전투장화","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","전사","반지","90레벨 토벌자의 인장반지","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","전사","귀걸이","90레벨 토벌자의 전공귀걸이","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"90","전사","펜던트","90레벨 토벌자의 수호패","유령 기사 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","전사","무기","100레벨 토벌자의 장창","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","전사","투구","100레벨 토벌자의 전투투구","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","전사","갑옷","100레벨 토벌자의 흉갑","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","전사","바지","100레벨 토벌자의 판금각반","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","전사","장갑","100레벨 토벌자의 철장갑","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","전사","신발","100레벨 토벌자의 전투장화","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","전사","반지","100레벨 토벌자의 인장반지","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","전사","귀걸이","100레벨 토벌자의 전공귀걸이","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"100","전사","펜던트","100레벨 토벌자의 수호패","망령 여왕 / 불멸의 왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","전사","무기","110레벨 토벌자의 장창","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","전사","투구","110레벨 토벌자의 전투투구","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","전사","갑옷","110레벨 토벌자의 흉갑","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","전사","바지","110레벨 토벌자의 판금각반","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","전사","장갑","110레벨 토벌자의 철장갑","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","전사","신발","110레벨 토벌자의 전투장화","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","전사","반지","110레벨 토벌자의 인장반지","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","전사","귀걸이","110레벨 토벌자의 전공귀걸이","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"110","전사","펜던트","110레벨 토벌자의 수호패","설원 포식자 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","전사","무기","120레벨 토벌자의 장창","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","전사","투구","120레벨 토벌자의 전투투구","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","전사","갑옷","120레벨 토벌자의 흉갑","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","전사","바지","120레벨 토벌자의 판금각반","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","전사","장갑","120레벨 토벌자의 철장갑","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","전사","신발","120레벨 토벌자의 전투장화","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","전사","반지","120레벨 토벌자의 인장반지","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","전사","귀걸이","120레벨 토벌자의 전공귀걸이","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"120","전사","펜던트","120레벨 토벌자의 수호패","빙결 마녀 / 빙룡 이스라","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","전사","무기","130레벨 토벌자의 장창","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","전사","투구","130레벨 토벌자의 전투투구","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","전사","갑옷","130레벨 토벌자의 흉갑","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","전사","바지","130레벨 토벌자의 판금각반","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","전사","장갑","130레벨 토벌자의 철장갑","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","전사","신발","130레벨 토벌자의 전투장화","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","전사","반지","130레벨 토벌자의 인장반지","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","전사","귀걸이","130레벨 토벌자의 전공귀걸이","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"130","전사","펜던트","130레벨 토벌자의 수호패","모래 군주 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","전사","무기","140레벨 토벌자의 장창","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","전사","투구","140레벨 토벌자의 전투투구","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","전사","갑옷","140레벨 토벌자의 흉갑","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","전사","바지","140레벨 토벌자의 판금각반","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","전사","장갑","140레벨 토벌자의 철장갑","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","전사","신발","140레벨 토벌자의 전투장화","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","전사","반지","140레벨 토벌자의 인장반지","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","전사","귀걸이","140레벨 토벌자의 전공귀걸이","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"140","전사","펜던트","140레벨 토벌자의 수호패","태양 수호자 / 사막왕 라칸","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","전사","무기","150레벨 토벌자의 장창","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","전사","투구","150레벨 토벌자의 전투투구","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","전사","갑옷","150레벨 토벌자의 흉갑","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","전사","바지","150레벨 토벌자의 판금각반","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","전사","장갑","150레벨 토벌자의 철장갑","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","전사","신발","150레벨 토벌자의 전투장화","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","전사","반지","150레벨 토벌자의 인장반지","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","전사","귀걸이","150레벨 토벌자의 전공귀걸이","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"150","전사","펜던트","150레벨 토벌자의 수호패","타락한 사제 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","전사","무기","160레벨 토벌자의 장창","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","전사","투구","160레벨 토벌자의 전투투구","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","전사","갑옷","160레벨 토벌자의 흉갑","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","전사","바지","160레벨 토벌자의 판금각반","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","전사","장갑","160레벨 토벌자의 철장갑","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","전사","신발","160레벨 토벌자의 전투장화","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","전사","반지","160레벨 토벌자의 인장반지","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","전사","귀걸이","160레벨 토벌자의 전공귀걸이","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"160","전사","펜던트","160레벨 토벌자의 수호패","천공 심판자 / 성역의 주인","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","전사","무기","170레벨 토벌자의 장창","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","전사","투구","170레벨 토벌자의 전투투구","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","전사","갑옷","170레벨 토벌자의 흉갑","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","전사","바지","170레벨 토벌자의 판금각반","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","전사","장갑","170레벨 토벌자의 철장갑","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","전사","신발","170레벨 토벌자의 전투장화","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","전사","반지","170레벨 토벌자의 인장반지","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","전사","귀걸이","170레벨 토벌자의 전공귀걸이","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"170","전사","펜던트","170레벨 토벌자의 수호패","시계 거인 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","전사","무기","180레벨 토벌자의 장창","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","전사","투구","180레벨 토벌자의 전투투구","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","전사","갑옷","180레벨 토벌자의 흉갑","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","전사","바지","180레벨 토벌자의 판금각반","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","전사","장갑","180레벨 토벌자의 철장갑","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","전사","신발","180레벨 토벌자의 전투장화","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","전사","반지","180레벨 토벌자의 인장반지","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","전사","귀걸이","180레벨 토벌자의 전공귀걸이","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"180","전사","펜던트","180레벨 토벌자의 수호패","균열의 군주 / 시간왕 크로노스","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"190","전사","무기","190레벨 토벌자의 장창","심연 기사 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"190","전사","투구","190레벨 토벌자의 전투투구","심연 기사 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"190","전사","갑옷","190레벨 토벌자의 흉갑","심연 기사 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"190","전사","바지","190레벨 토벌자의 판금각반","심연 기사 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"190","전사","장갑","190레벨 토벌자의 철장갑","심연 기사 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"190","전사","신발","190레벨 토벌자의 전투장화","심연 기사 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"190","전사","반지","190레벨 토벌자의 인장반지","심연 기사 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"190","전사","귀걸이","190레벨 토벌자의 전공귀걸이","심연 기사 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"190","전사","펜던트","190레벨 토벌자의 수호패","심연 기사 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"200","전사","무기","200레벨 토벌자의 장창","공허 포식자 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"200","전사","투구","200레벨 토벌자의 전투투구","공허 포식자 / 멸신왕 벨제리온","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
