"일차","레벨","경험치(%)","당일 처치","사냥터","전투력","보유 골드","총 스타포스","장착 부위 수","장비 평균 레벨","보스 클리어 수","탑 최고 층","레드 잔량","블랙 잔량","에픽 이상 부위","레전더리 부위","새로 잡은 보스"
"51","174","91.1","5452","영원의 틈","30873","4508404","135","9","136","26","8","4449","0","9","8",""
"52","176","12.2","5432","영원의 틈","30916","4521557","135","9","136","26","8","4533","0","9","8",""
"53","177","32","5453","영원의 틈","31435","4733423","135","9","136","26","8","4612","0","9","8",""
"54","178","50.1","5446","영원의 틈","31209","4947735","135","9","136","26","8","4692","0","9","9",""
"55","179","67.5","5472","영원의 틈","31919","5181219","135","9","136","27","8","4868","0","9","9","시간왕 크로노스"
"56","180","82.8","5444","영원의 틈","32279","5054870","135","9","136","27","8","5003","0","9","9",""
"57","182","2.1","5467","영원의 틈","33912","5326140","135","9","136","28","9","5189","0","9","9","심연 기사"
"58","183","15.7","5511","영원의 틈","33934","5557282","135","9","136","28","9","5369","0","9","9",""
"59","184","27.4","5475","공허의 길","34352","5110315","135","9","142","28","9","5501","0","9","8",""
"60","185","39.2","5510","공허의 길","34536","4818503","135","9","144","28","9","5582","0","9","7",""
"61","186","48.9","5469","공허의 길","35255","4746146","135","9","151","28","9","5646","0","9","7",""
"62","187","57.2","5451","공허의 길","35406","4961219","135","9","151","28","9","5753","0","9","9",""
"63","188","64.4","5454","공허의 길","37108","5183361","135","9","151","28","9","5907","0","9","9",""
"64","189","70.5","5458","공허의 길","37275","5400595","135","9","151","28","9","6055","0","9","9",""
"65","190","75.3","5448","공허의 길","37301","5607399","135","9","151","28","9","6213","0","9","9",""
"66","191","78.9","5437","공허의 길","38517","5883650","135","9","151","28","9","6391","0","9","9",""
"67","192","81.9","5469","공허의 길","38544","6119237","135","9","151","29","9","6573","0","9","9","공허 포식자"
"68","193","83.9","5472","공허의 길","38567","6347493","135","9","151","29","9","6750","0","9","9",""
"69","194","85","5473","공허의 길","38594","6570672","135","9","151","29","9","6909","0","9","9",""
"70","195","85.3","5492","공허의 길","38617","6814088","135","9","151","29","9","7073","0","9","9",""
"71","196","84.7","5492","공허의 길","38645","7044504","135","9","151","29","9","7238","0","9","9",""
"72","197","82.9","5473","공허의 길","38667","7253383","135","9","151","29","9","7402","0","9","9",""
"73","198","79.8","5454","공허의 길","39746","7537325","135","9","151","29","9","7595","0","9","9",""
"74","199","76.5","5496","공허의 길","39770","7785733","135","9","151","29","9","7780","0","9","9",""
"75","200","0","5479","공허의 길","46292","18646","173","9","151","30","9","7930","0","9","9","멸신왕 벨제리온"
"76","200","0","5489","공허의 길","46657","46166","174","9","151","30","9","8083","0","9","9",""
"77","200","0","5490","공허의 길","46657","29218","174","9","151","30","9","8230","0","9","9",""
"78","200","0","5490","공허의 길","46657","5575","174","9","151","30","9","8321","0","9","9",""
"79","200","0","5491","공허의 길","46657","17012","174","9","151","30","9","8429","0","9","9",""
"80","200","0","5461","공허의 길","47951","5130","175","9","151","30","9","8610","0","9","9",""
"81","200","0","5490","공허의 길","48557","58573","176","9","151","30","9","8787","0","9","9",""
"82","200","0","5492","공허의 길","48657","38297","176","9","151","30","9","8955","0","9","9",""
"83","200","0","5491","공허의 길","48657","10498","176","9","151","30","9","9120","0","9","9",""
"84","200","0","5493","공허의 길","48968","94809","178","9","151","30","9","9288","0","9","9",""
"85","200","0","5497","공허의 길","56389","115151","179","9","151","30","9","9449","0","9","9",""
"86","200","0","5511","공허의 길","56604","121478","180","9","151","30","9","9619","0","9","9",""
"87","200","0","5480","공허의 길","57444","13257","180","9","151","30","9","9812","0","9","9",""
"88","200","0","5513","공허의 길","57983","137551","180","9","151","30","9","9983","0","9","9",""
"89","200","0","5517","공허의 길","57983","379042","180","9","151","30","9","10127","0","9","9",""
"90","200","0","5516","공허의 길","57983","628010","180","9","151","30","9","10281","0","9","9",""
"91","200","0","5516","공허의 길","57983","884478","180","9","151","30","9","10450","0","9","9",""
"92","200","0","5517","공허의 길","59227","16392","178","9","156","30","9","10550","0","9","8",""
"93","200","0","5515","공허의 길","59504","44381","178","9","156","30","9","10630","0","9","8",""
"94","200","0","5486","공허의 길","60764","37361","179","9","156","30","9","10820","0","9","9",""
"95","200","0","5517","공허의 길","60764","40168","179","9","156","30","9","11014","0","9","9",""
"96","200","0","5520","공허의 길","60764","18644","179","9","156","30","9","11184","0","9","9",""
"97","200","0","5519","공허의 길","60764","128639","179","9","156","30","9","11359","0","9","9",""
"98","200","0","5519","공허의 길","61042","122092","180","9","156","30","9","11524","0","9","9",""
"99","200","0","5520","공허의 길","61042","368152","180","9","156","30","9","11698","0","9","9",""
"100","200","0","5520","공허의 길","61042","609712","180","9","156","30","9","11877","0","9","9",""
"101","200","0","5491","공허의 길","61042","952805","180","9","156","30","9","12099","0","9","9",""
"102","200","0","5517","공허의 길","61356","1214696","180","9","156","30","9","12292","0","9","9",""
"103","200","0","5518","공허의 길","61356","1468710","180","9","156","30","9","12466","0","9","9",""
"104","200","0","5528","공허의 길","61356","1780312","180","9","156","30","10","12659","0","9","9",""
