"일차","레벨","경험치(%)","당일 처치","사냥터","전투력","보유 골드","총 스타포스","장착 부위 수","장비 평균 레벨","보스 클리어 수","탑 최고 층","레드 잔량","블랙 잔량","에픽 이상 부위","레전더리 부위","새로 잡은 보스"
"51","174","73.2","5430","멈춘 거리","21852","4338556","135","9","133","25","6","3874","0","9","5",""
"52","175","92.5","5416","멈춘 거리","21760","4487376","135","9","133","25","6","3900","0","9","6",""
"53","177","9","5417","멈춘 거리","21766","4633216","135","9","133","25","6","3916","0","9","6",""
"54","178","22.5","5416","뒤틀린 시계","21884","4777539","135","9","133","25","6","3946","0","9","6",""
"55","179","35.6","5416","멈춘 거리","21403","4926059","135","9","133","25","6","3951","0","9","6",""
"56","180","43.9","5415","멈춘 거리","21533","5099359","135","9","133","25","6","3976","0","9","7",""
"57","181","49.8","5412","뒤틀린 시계","21886","4926533","135","9","138","25","6","3985","0","9","6",""
"58","182","57.3","5411","멈춘 거리","21726","5074953","135","9","138","25","6","4006","0","9","7",""
"59","183","59","5415","뒤틀린 시계","22900","5039704","135","9","142","25","6","4039","0","9","6",""
"60","184","65.6","5418","뒤틀린 시계","23532","4890892","135","9","144","25","6","4071","0","9","5",""
"61","185","70.1","5423","뒤틀린 시계","24211","4727395","135","9","147","25","6","4091","0","9","5",""
"62","186","75.5","5427","영원의 틈","25980","4454687","135","9","149","25","6","4173","0","9","4",""
"63","187","78.8","5421","뒤틀린 시계","23589","4649328","135","9","147","25","6","4222","0","9","5",""
"64","188","77","5423","뒤틀린 시계","23607","4828311","135","9","147","25","6","4265","0","9","6",""
"65","189","73.4","5425","뒤틀린 시계","24152","5000336","135","9","147","25","6","4321","0","9","6",""
"66","190","68","5423","뒤틀린 시계","24722","5176119","135","9","147","25","6","4356","0","9","7",""
"67","191","64","5426","뒤틀린 시계","24929","5104009","135","9","149","25","6","4440","0","9","6",""
"68","192","58.6","5435","영원의 틈","26613","5085474","135","9","151","25","6","4511","0","9","5",""
"69","193","51.3","5427","영원의 틈","25379","5266248","135","9","151","25","6","4565","0","9","7",""
"70","194","42.2","5424","영원의 틈","25538","5459958","135","9","151","25","6","4617","0","9","7",""
"71","195","31.7","5435","뒤틀린 시계","25207","5656093","135","9","151","25","6","4684","0","9","7",""
"72","196","17.1","5434","뒤틀린 시계","25748","5622569","135","9","153","25","6","4732","0","9","7",""
"73","197","1.1","5427","영원의 틈","25861","5808950","135","9","153","25","6","4769","0","9","7",""
"74","197","89.1","5432","영원의 틈","33247","6005954","135","9","153","25","6","4865","0","9","9",""
"75","198","84.4","5444","공허의 길","35349","5494020","135","9","158","28","7","5028","0","9","8","균열의 군주 / 시간왕 크로노스 / 심연 기사"
"76","199","85.1","5436","공허의 길","35631","5761534","135","9","158","28","8","5092","0","9","8",""
"77","200","0","5446","공허의 길","39063","23214","158","9","167","29","9","5173","0","9","6","공허 포식자"
"78","200","0","5428","공허의 길","39508","6430","160","9","167","29","9","5213","0","9","6",""
"79","200","0","5433","공허의 길","40243","2558","160","9","167","29","9","5267","0","9","6",""
"80","200","0","5430","공허의 길","39952","15719","162","9","167","29","9","5348","0","9","6",""
"81","200","0","5443","공허의 길","40366","28954","162","9","167","29","9","5429","0","9","6",""
"82","200","0","5433","공허의 길","42346","66364","165","9","167","29","9","5511","0","9","8",""
"83","200","0","5438","공허의 길","42346","7079","165","9","167","29","9","5545","0","9","8",""
"84","200","0","5436","공허의 길","41597","23804","165","9","167","29","9","5617","0","9","8",""
"85","200","0","5441","공허의 길","42043","67625","166","9","167","29","9","5683","0","9","8",""
"86","200","0","5437","공허의 길","41985","26506","168","9","167","29","9","5748","0","9","8",""
"87","200","0","5433","공허의 길","42536","40895","169","9","167","29","9","5913","0","9","9",""
"88","200","0","5443","공허의 길","44952","11506","169","9","167","30","9","6091","0","9","9","멸신왕 벨제리온"
"89","200","0","5472","공허의 길","46031","24298","169","9","167","30","9","6243","0","9","9",""
"90","200","0","5474","공허의 길","46031","51248","169","9","167","30","9","6385","0","9","9",""
"91","200","0","5476","공허의 길","46599","37252","169","9","167","30","9","6554","0","9","9",""
"92","200","0","5478","공허의 길","47351","2802","169","9","167","30","9","6723","0","9","9",""
"93","200","0","5481","공허의 길","47351","61269","169","9","167","30","9","6898","0","9","9",""
"94","200","0","5454","공허의 길","47667","100587","170","9","167","30","9","7120","0","9","9",""
"95","200","0","5480","공허의 길","47667","69443","170","9","167","30","9","7324","0","9","9",""
"96","200","0","5484","공허의 길","47667","89219","170","9","167","30","9","7502","0","9","9",""
"97","200","0","5483","공허의 길","47994","37244","170","9","167","30","9","7681","0","9","9",""
"98","200","0","5483","공허의 길","47994","71997","170","9","167","30","9","7847","0","9","9",""
"99","200","0","5484","공허의 길","50914","97205","171","9","167","30","10","8046","0","9","9",""
