"일차","레벨","경험치(%)","당일 처치","사냥터","전투력","보유 골드","총 스타포스","장착 부위 수","장비 평균 레벨","보스 클리어 수","탑 최고 층","레드 잔량","블랙 잔량","에픽 이상 부위","레전더리 부위","새로 잡은 보스"
"52","176","48.6","5432","영원의 틈","27951","4137617","135","9","153","26","9","4427","0","9","6",""
"53","177","67.5","5421","영원의 틈","26877","4340479","135","9","153","26","9","4490","0","9","6",""
"54","178","85.1","5436","영원의 틈","32914","4539271","135","9","153","26","9","4554","0","9","7",""
"55","180","1.7","5458","영원의 틈","32516","4312400","135","9","158","26","9","4620","0","9","6",""
"56","181","16.8","5459","영원의 틈","32641","4551798","135","9","153","27","9","4679","0","9","7","시간왕 크로노스"
"57","182","30.4","5459","영원의 틈","32765","4748596","135","9","158","27","9","4739","0","9","6",""
"58","183","42.8","5460","영원의 틈","33325","4573971","135","9","160","28","9","4808","0","9","6","심연 기사"
"59","184","53.6","5448","공허의 길","34466","4521333","135","9","160","28","9","4908","0","9","6",""
"60","185","64.3","5480","공허의 길","33599","4748351","135","9","160","28","9","4986","0","9","6",""
"61","186","72.6","5422","영원의 틈","32735","4510717","135","9","160","28","9","5012","0","9","7",""
"62","187","79.4","5422","공허의 길","33340","4710713","135","9","160","28","9","5034","0","9","7",""
"63","188","85.8","5421","공허의 길","33755","4916596","135","9","160","28","9","5089","0","9","7",""
"64","189","90.6","5423","검은 성문","33475","5121302","135","9","160","28","9","5143","0","9","7",""
"65","190","94.4","5423","공허의 길","33397","4841894","135","9","160","28","9","5199","0","9","7",""
"66","191","97.6","5429","공허의 길","33610","5064661","135","9","160","28","9","5250","0","9","8",""
"67","192","99.7","5423","공허의 길","35508","5309890","135","9","160","28","9","5406","0","9","9",""
"68","194","0.8","5432","공허의 길","36042","5523526","135","9","160","28","9","5574","0","9","9",""
"69","195","1","5429","공허의 길","36060","5731093","135","9","160","28","9","5717","0","9","9",""
"70","196","0.4","5443","공허의 길","38893","5969282","135","9","160","29","9","5871","0","9","9","공허 포식자"
"71","196","99.6","5491","공허의 길","39758","5907300","135","9","164","29","9","5985","0","9","8",""
"72","197","97.9","5491","공허의 길","39141","6136193","135","9","164","29","9","6080","0","9","8",""
"73","198","94.5","5448","공허의 길","39471","6419997","135","9","164","29","9","6185","0","9","8",""
"74","199","91","5490","공허의 길","40190","6669767","135","9","164","29","9","6289","0","9","8",""
"75","200","0","5442","공허의 길","43981","27344","160","9","164","29","9","6363","0","9","9",""
"76","200","0","5426","공허의 길","44431","7930","161","9","164","30","9","6531","0","9","9","멸신왕 벨제리온"
"77","200","0","5470","공허의 길","44746","2128","162","9","164","30","9","6706","0","9","9",""
"78","200","0","5471","공허의 길","45657","76939","163","9","164","30","9","6874","0","9","9",""
"79","200","0","5470","공허의 길","45912","2605","165","9","164","30","9","7046","0","9","9",""
"80","200","0","5448","공허의 길","46185","81176","167","9","164","30","9","7252","0","9","9",""
"81","200","0","5469","공허의 길","47600","9645","168","9","164","30","9","7449","0","9","9",""
"82","200","0","5477","공허의 길","47600","8213","168","9","164","30","9","7596","0","9","9",""
"83","200","0","5477","공허의 길","47750","71588","168","9","164","30","9","7750","0","9","9",""
"84","200","0","5477","공허의 길","47750","50115","168","9","164","30","9","7920","0","9","9",""
"85","200","0","5477","공허의 길","47750","23142","168","9","164","30","9","8093","0","9","9",""
"86","200","0","5480","공허의 길","47750","4812","168","9","164","30","9","8268","0","9","9",""
"87","200","0","5467","공허의 길","57097","57756","169","9","164","30","10","8515","0","9","9",""
